2023-11-30 09:52:23 install libgcc-s1:loong64 <none> 13.2.0-7
2023-11-30 09:52:23 status half-installed libgcc-s1:loong64 13.2.0-7
2023-11-30 09:52:23 status unpacked libgcc-s1:loong64 13.2.0-7
2023-11-30 09:52:23 install libgcrypt20:loong64 <none> 1.10.2-3
2023-11-30 09:52:23 status half-installed libgcrypt20:loong64 1.10.2-3
2023-11-30 09:52:24 status unpacked libgcrypt20:loong64 1.10.2-3
2023-11-30 09:52:24 install libgmp10:loong64 <none> 2:6.3.0+dfsg-2
2023-11-30 09:52:24 status half-installed libgmp10:loong64 2:6.3.0+dfsg-2
2023-11-30 09:52:24 status unpacked libgmp10:loong64 2:6.3.0+dfsg-2
2023-11-30 09:52:25 install libgnutls30:loong64 <none> 3.8.2-1
2023-11-30 09:52:25 status half-installed libgnutls30:loong64 3.8.2-1
2023-11-30 09:52:25 status unpacked libgnutls30:loong64 3.8.2-1
2023-11-30 09:52:26 install libgpg-error0:loong64 <none> 1.47-3
2023-11-30 09:52:26 status half-installed libgpg-error0:loong64 1.47-3
2023-11-30 09:52:26 status unpacked libgpg-error0:loong64 1.47-3
2023-11-30 09:52:26 install libhogweed6:loong64 <none> 3.9.1-2
2023-11-30 09:52:26 status half-installed libhogweed6:loong64 3.9.1-2
2023-11-30 09:52:26 status unpacked libhogweed6:loong64 3.9.1-2
2023-11-30 09:52:27 install libidn2-0:loong64 <none> 2.3.4-1+b2
2023-11-30 09:52:27 status half-installed libidn2-0:loong64 2.3.4-1+b2
2023-11-30 09:52:27 status unpacked libidn2-0:loong64 2.3.4-1+b2
2023-11-30 09:52:27 install liblz4-1:loong64 <none> 1.9.4-1+b1
2023-11-30 09:52:27 status half-installed liblz4-1:loong64 1.9.4-1+b1
2023-11-30 09:52:27 status unpacked liblz4-1:loong64 1.9.4-1+b1
2023-11-30 09:52:28 install liblzma5:loong64 <none> 5.4.5-0.1
2023-11-30 09:52:28 status half-installed liblzma5:loong64 5.4.5-0.1
2023-11-30 09:52:28 status unpacked liblzma5:loong64 5.4.5-0.1
2023-11-30 09:52:28 install libmd0:loong64 <none> 1.1.0-1
2023-11-30 09:52:28 status half-installed libmd0:loong64 1.1.0-1
2023-11-30 09:52:28 status unpacked libmd0:loong64 1.1.0-1
2023-11-30 09:52:28 install libnettle8:loong64 <none> 3.9.1-2
2023-11-30 09:52:28 status half-installed libnettle8:loong64 3.9.1-2
2023-11-30 09:52:29 status unpacked libnettle8:loong64 3.9.1-2
2023-11-30 09:52:29 install libp11-kit0:loong64 <none> 0.25.0-5
2023-11-30 09:52:29 status half-installed libp11-kit0:loong64 0.25.0-5
2023-11-30 09:52:29 status unpacked libp11-kit0:loong64 0.25.0-5
2023-11-30 09:52:29 install libpam-modules:loong64 <none> 1.5.2-9.1
2023-11-30 09:52:29 status half-installed libpam-modules:loong64 1.5.2-9.1
2023-11-30 09:52:30 status unpacked libpam-modules:loong64 1.5.2-9.1
2023-11-30 09:52:31 install libpam-modules-bin:loong64 <none> 1.5.2-9.1
2023-11-30 09:52:31 status half-installed libpam-modules-bin:loong64 1.5.2-9.1
2023-11-30 09:52:31 status unpacked libpam-modules-bin:loong64 1.5.2-9.1
2023-11-30 09:52:31 install libpam-runtime:all <none> 1.5.2-9.1
2023-11-30 09:52:31 status half-installed libpam-runtime:all 1.5.2-9.1
